idDocumento,numDoc,folioDoc,folioUnico,origenFactura,tipoFactura,tipoDocAsociado,nomProveedor,rutProveedor,centroGestion,fechaSistema,fechaEmision,fechaEstimadaPago,fechaRecepSII,fechaRecepcion,moneda,montoTotal,estadoDoc,estadoAsociacion,estadoPago,estadoPagoSii,FechaIngreso,ConceptoCompras,Cliente,Proveedor,Honorario,Empleado,Cuenta,Cuenta 2,Centro,Unidad de Negocio,Estado,montoNeto,montoNoAfectoOExento
30728679,1314-64,1314-64,23009,Factura Electrónica (iHub),Factura No Afecta o Exenta Electrónica ,Recepción,COMERCIAL ACONCAGUA LIMITADA,76337293-6,1314 Ivan Avendaño,2025-06-02T09:24:53.637,2025-06-01T00:00:00,2025-07-01T00:00:00,01-06-2025,2025-06-01T00:00:00,$,95480.0,Aprobada,Totalmente Asociada,Pagada,Sin Pagos,04/18/2024 19:29:23,Arriendos oficina,N,S,N,N,4.01.03.11,4.01.03.11 Arriendos,1314,Ivan Avendaño,Activo,0.0,95480.0
30731725,1417-154,1417-154,7618,Factura Electrónica (iHub),Factura Electrónica ,Recepción,RST RESIDUOS SPA,76914278-9,1417 Marathon EU Viña,2025-06-02T12:43:18.583,2025-06-02T00:00:00,2025-07-02T00:00:00,02-06-2025,2025-06-02T00:00:00,$,2067030.0,Aprobada,Totalmente Asociada,Pagada,Pago Crédito,05/06/2024 21:35:39,Fletes / Retiro escombros,N,S,N,N,4.01.02.04,4.01.02.04 Otros costos de explotación,1417,Marathon EU Viña,Activo,1737000.0,0.0
30732564,1415-209,1415-209,169,Factura Electrónica (iHub),Factura Electrónica ,Estado de Pago,CONSTRUCTORA   FAS   SPA,77882438-8,1415 Casa Idea Talca,2025-06-02T13:47:12.867,2025-06-02T00:00:00,2025-07-02T00:00:00,02-06-2025,2025-06-02T00:00:00,$,3492069.0,Aprobada,Totalmente Asociada,Pagada,Pago Crédito,07/29/2024 15:28:04,Subcontratos,N,S,N,N,4.01.02.02,4.01.02.02 Subcontratos,1415,Casa Ideas Talca,Activo,2934512.0,0.0
30733382,1407-559,1407-559,1793,Factura Electrónica (iHub),Factura Electrónica ,Recepción,IMPORTADORA Y COMERCIALIZADORA SERGIO EDMUNDO HERRERA GARRIDO E.I.R.L.,76282087-0,1407 SMU El Salvador,2025-06-02T14:21:50.977,2025-06-02T00:00:00,2025-07-02T00:00:00,02-06-2025,2025-06-02T00:00:00,$,1232376.0,Espera Aprobacion,Totalmente Asociada,Sin Pagos,Pago Crédito,08/26/2024 18:13:24,Otros costos de explotación,N,S,N,N,4.01.02.04,4.01.02.04 Otros costos de explotación,1407,SMU El Salvador,Activo,1035610.0,0.0
30737094,1270-785,1270-785,3883,Factura Electrónica (iHub),Factura Electrónica ,Recepción,MUTUAL DE SEGUROS DE CHILE,70015730-K,1270 Oficina ICC,2025-06-02T18:06:22.99,2025-06-02T00:00:00,2025-07-02T00:00:00,02-06-2025,2025-06-02T00:00:00,$,5055608.0,Aprobada,Totalmente Asociada,Pagada,Pago Crédito,04/18/2024 19:23:46,Arriendos oficina,S,S,N,N,4.01.03.11,4.01.03.11 Arriendos,1270,Oficina Central,Activo,4248410.0,0.0
30737098,1270-786,1270-786,3884,Factura Electrónica (iHub),Factura Electrónica ,Recepción,MUTUAL DE SEGUROS DE CHILE,70015730-K,1270 Oficina ICC,2025-06-02T18:06:37.893,2025-06-02T00:00:00,2025-07-02T00:00:00,02-06-2025,2025-06-02T00:00:00,$,4322482.0,Aprobada,Totalmente Asociada,Pagada,Pago Crédito,04/18/2024 19:23:46,Arriendos oficina,S,S,N,N,4.01.03.11,4.01.03.11 Arriendos,1270,Oficina Central,Activo,3566469.0,78384.0
30737455,1417-157,1417-157,15609,Factura Electrónica (iHub),Factura Electrónica ,Recepción,INDUSTRIA METALURGICA PROCESA S A,85506400-6,1417 Marathon EU Viña,2025-06-02T18:55:13.887,2025-06-02T00:00:00,2025-07-02T00:00:00,02-06-2025,2025-06-02T00:00:00,$,29155000.0,Aprobada,Totalmente Asociada,Pagada,Pago Crédito,11/14/2024 14:29:03,Materiales,N,S,N,N,4.01.02.01,4.01.02.01 Materiales,1417,Marathon EU Viña,Activo,24500000.0,0.0
30737552,1407-560,1407-560,252977,Factura Electrónica (iHub),Factura Electrónica ,Recepción,ROSSELOT Y FIGUEROA LIMITADA,79615590-6,1407 SMU El Salvador,2025-06-02T18:59:17.173,2025-06-02T00:00:00,2025-07-02T00:00:00,02-06-2025,2025-06-02T00:00:00,$,531684.0,Aprobada,Totalmente Asociada,Pagada,Pago Crédito,04/18/2024 19:29:20,Arriendos oficina,N,S,N,N,4.01.03.11,4.01.03.11 Arriendos,1407,SMU El Salvador,Activo,446793.0,0.0
30738285,1416-127,1416-127,370,Factura Electrónica (iHub),Factura Electrónica ,Estado de Pago,CONSTRUCTORA  RAUL CORNELIO CARRASCO LOYOLA  E.I.R.L.,77050905-K,1416 Santa Isabel MPV,2025-06-02T22:25:53.307,2025-06-02T00:00:00,2025-07-02T00:00:00,02-06-2025,2025-06-02T00:00:00,$,10626700.0,Aprobada,Totalmente Asociada,Pagada,Pago Crédito,04/02/2025 18:20:37,Subcontratos,N,S,N,N,4.01.02.02,4.01.02.02 Subcontratos,1416,SISA MPV,Activo,8930000.0,0.0
30738629,1418-53,1418-53,35464966,Factura Electrónica (iHub),Factura Electrónica ,Recepción,EASY RETAIL S.A.,76568660-1,1418 Piso 8 Costanera Center,2025-06-02T23:31:35.28,2025-06-02T00:00:00,2025-07-02T00:00:00,02-06-2025,2025-06-02T00:00:00,$,90985.0,Aprobada,Totalmente Asociada,Pagada,Pago Crédito,04/18/2024 19:29:13,Materiales,N,S,N,N,4.01.02.01,4.01.02.01 Materiales,1418,Piso 8 Costanera Center,Activo,76458.0,0.0
30738805,1419-8,1419-8,139339807,Factura Electrónica (iHub),Factura Electrónica ,Recepción,SODIMAC S.A.,96792430-K,1419 Jhonny Rockets Mall Plaza Norte,2025-06-02T23:59:41.977,2025-06-02T00:00:00,2025-07-02T00:00:00,02-06-2025,2025-06-02T00:00:00,$,48357.0,Aprobada,Totalmente Asociada,Pagada,Pago Crédito,04/18/2024 19:29:19,Materiales,N,S,N,N,4.01.02.01,4.01.02.01 Materiales,1419,Jhonny Rocket Mall Plaza Norte,Activo,40636.0,0.0
30739116,1413-376,1413-376,119,Factura Electrónica (iHub),Factura Electrónica ,Recepción,TRANSPORTES M Y E SPA,77904011-9,1413 Inacap Apoquindo acceso univ y otros,2025-06-03T02:03:08.32,2025-06-02T00:00:00,2025-07-03T00:00:00,02-06-2025,2025-06-03T00:00:00,$,428400.0,Aprobada,Totalmente Asociada,Pagada,Pago Crédito,08/26/2024 18:13:41,Fletes / Retiro escombros,N,S,N,N,4.01.02.04,4.01.02.04 Otros costos de explotación,1413,Inacap Apoquindo,Activo,360000.0,0.0
30741000,1413-377,1413-377,20559,Factura Electrónica (iHub),Factura Electrónica ,Recepción,MERIDA SEGURIDAD INDUSTRIAL SPA,76364845-1,1413 Inacap Apoquindo acceso univ y otros,2025-06-03T10:54:41.34,2025-06-03T00:00:00,2025-07-03T00:00:00,03-06-2025,2025-06-03T00:00:00,$,88536.0,Aprobada,Totalmente Asociada,Pagada,Pago Crédito,04/23/2024 13:35:32,EPP,N,S,N,N,4.01.02.04,4.01.02.04 Otros costos de explotación,1413,Inacap Apoquindo,Activo,74400.0,0.0
30741367,1417-158,1417-158,2757229,Factura Electrónica (iHub),Factura Electrónica ,Recepción,SHERWIN-WILLIAMS CHILE S.A.,96803460-K,1417 Marathon EU Viña,2025-06-03T11:17:38.823,2025-06-03T00:00:00,2025-07-03T00:00:00,03-06-2025,2025-06-03T00:00:00,$,252159.0,Aprobada,Totalmente Asociada,Pagada,Pago Crédito,05/02/2024 15:11:08,Materiales,N,S,N,N,4.01.02.01,4.01.02.01 Materiales,1417,Marathon EU Viña,Activo,211898.0,0.0
30742116,1407-561,1407-561,253040,Factura Electrónica (iHub),Factura Electrónica ,Recepción,ROSSELOT Y FIGUEROA LIMITADA,79615590-6,1407 SMU El Salvador,2025-06-03T12:18:34.473,2025-06-03T00:00:00,2025-07-03T00:00:00,03-06-2025,2025-06-03T00:00:00,$,464100.0,Aprobada,Totalmente Asociada,Pagada,Pago Crédito,04/18/2024 19:29:20,Arriendos oficina,N,S,N,N,4.01.03.11,4.01.03.11 Arriendos,1407,SMU El Salvador,Activo,390000.0,0.0
30742400,1270-787,1270-787,BH 14,Factura,Boleta Honorarios,Recepción,IVAN FRANCISCO MANUEL LOVERA BARRERA,18326591-1,1270 Oficina ICC,2025-06-03T12:43:36.737,2025-06-03T00:00:00,2025-07-03T00:00:00,No disponible,2025-06-03T00:00:00,$,425000.0,Aprobada,Totalmente Asociada,Pagada,Sin Pagos,10/24/2024 19:46:16,,,,S,,,,1270,Oficina Central,Activo,0.0,425000.0
