idDocumento,numDoc,folioDoc,folioUnico,origenFactura,tipoFactura,tipoDocAsociado,nomProveedor,rutProveedor,centroGestion,fechaSistema,fechaEmision,fechaEstimadaPago,fechaRecepSII,fechaRecepcion,moneda,montoTotal,estadoDoc,estadoAsociacion,estadoPago,estadoPagoSii,FechaIngreso,ConceptoCompras,Cliente,Proveedor,Honorario,Empleado,Cuenta,Cuenta 2,Centro,Unidad de Negocio,Estado,montoNeto,montoNoAfectoOExento
31002659,1420-49,1420-49,3482819,Factura Electrónica (iHub),Factura Electrónica ,Recepción,AUSIN HNOS. S.A.,81293200-4,1420 Unimarc PA Colina Brisas del Norte,2025-07-10T13:20:31.06,2025-07-10T00:00:00,2025-08-09T00:00:00,10-07-2025,2025-07-10T00:00:00,$,245048.0,Aprobada,Totalmente Asociada,Sin Pagos,Pago Crédito,04/18/2024 19:29:20,Materiales,N,S,N,N,4.01.02.01,4.01.02.01 Materiales,1420,SMU Brisas del Norte,Activo,205923.0,0.0
31002677,1413-430,1413-430,543,Factura Electrónica (iHub),Factura Electrónica ,Sin Documento Asociado,CONSTRUCTORA REYBE SPA,77012466-2,1413 Inacap Apoquindo acceso univ y otros,2025-07-10T13:21:49.567,2025-07-10T00:00:00,2025-08-09T00:00:00,10-07-2025,2025-07-10T00:00:00,$,2859374.0,Ingresada,No Asociada,Sin Pagos,Pago Crédito,08/01/2024 19:59:32,Subcontratos,N,S,N,N,4.01.02.02,4.01.02.02 Subcontratos,1413,Inacap Apoquindo,Activo,2402835.0,0.0
31003070,1421-12,1421-12,2524437,Factura Electrónica (iHub),Factura Electrónica ,Recepción,YOLITO BALART HERMANOS LTDA.,80565900-9,1421 Super 10 S.A.,2025-07-10T13:40:06.783,2025-07-10T00:00:00,2025-08-09T00:00:00,10-07-2025,2025-07-10T00:00:00,$,171679.0,Parcialmente Aprobada,Totalmente Asociada,Sin Pagos,Pago Crédito,05/02/2024 15:10:59,Materiales,N,S,N,N,4.01.02.01,4.01.02.01 Materiales,1421,S10 Santa Rosa-Puente Alto,Activo,144268.0,0.0
31003085,1400-203,1400-203,191,Factura Electrónica (iHub),Factura Electrónica ,Recepción,CONSTRUCTORA   FAS   SPA,77882438-8,1400 Habilitacion Nike MUT,2025-07-10T13:40:28.943,2025-07-10T00:00:00,2025-08-09T00:00:00,10-07-2025,2025-07-10T00:00:00,$,773500.0,Aprobada,Totalmente Asociada,Sin Pagos,Pago Crédito,07/29/2024 15:28:04,Subcontratos,N,S,N,N,4.01.02.02,4.01.02.02 Subcontratos,1400,Nike MUT,Activo,650000.0,0.0
31005180,1413-431,1413-431,282,Factura Electrónica (iHub),Factura Electrónica ,Estado de Pago,INSTALCONSTRUC SPA,76818099-7,1413 Inacap Apoquindo acceso univ y otros,2025-07-10T16:28:03.83,2025-07-10T00:00:00,2025-08-09T00:00:00,10-07-2025,2025-07-10T00:00:00,$,2608256.0,Ingresada,Totalmente Asociada,Sin Pagos,Pago Crédito,05/19/2025 21:07:43,,,S,,,,,1413,Inacap Apoquindo,Activo,2191812.0,0.0
31005569,1418-198,1418-198,100,Factura Electrónica (iHub),Factura Electrónica ,Recepción,Limpiezas CAM SPA,77283677-5,1418 Piso 8 Costanera Center,2025-07-10T17:04:21.44,2025-07-10T00:00:00,2025-08-09T00:00:00,10-07-2025,2025-07-10T00:00:00,$,499800.0,Aprobada,Totalmente Asociada,Sin Pagos,Pago Crédito,08/01/2024 19:59:40,Subcontratos,N,S,N,N,4.01.02.02,4.01.02.02 Subcontratos,1418,Piso 8 Costanera Center,Activo,420000.0,0.0
31005835,1418-199,1418-199,99,Factura Electrónica (iHub),Factura Electrónica ,Recepción,Limpiezas CAM SPA,77283677-5,1418 Piso 8 Costanera Center,2025-07-10T17:29:32.717,2025-07-10T00:00:00,2025-08-09T00:00:00,10-07-2025,2025-07-10T00:00:00,$,243950.0,Aprobada,Totalmente Asociada,Sin Pagos,Pago Crédito,08/01/2024 19:59:40,Subcontratos,N,S,N,N,4.01.02.02,4.01.02.02 Subcontratos,1418,Piso 8 Costanera Center,Activo,205000.0,0.0
31006728,1416-243,1416-243,3167,Factura Electrónica (iHub),Factura Electrónica ,Sin Documento Asociado,DISTRIBUIDORA Y COMERCIALIZADORA TORRES Y DONOSO LIMITADA,76086127-8,1416 Santa Isabel MPV,2025-07-10T19:33:51.513,2025-07-10T00:00:00,2025-08-09T00:00:00,10-07-2025,2025-07-10T00:00:00,$,42364.0,Ingresada,No Asociada,Sin Pagos,Pago Crédito,10/28/2024 12:32:36,Art. varios oficina,N,S,N,N,4.01.03.04,4.01.03.04 Articulos de Oficina,1416,SISA MPV,Activo,35600.0,0.0
31006793,1413-432,1413-432,995,Factura Electrónica (iHub),Factura Electrónica ,Estado de Pago,SERVICIOS DE INGENIERÍA MG SPA,76687667-6,1413 Inacap Apoquindo acceso univ y otros,2025-07-10T19:35:39.13,2025-07-10T00:00:00,2025-08-09T00:00:00,10-07-2025,2025-07-10T00:00:00,$,41715451.0,Ingresada,Totalmente Asociada,Sin Pagos,Pago Crédito,10/08/2024 13:11:27,Subcontratos,N,S,N,N,4.01.02.02,4.01.02.02 Subcontratos,1413,Inacap Apoquindo,Activo,35055001.0,0.0
31006869,1418-200,1418-200,748,Factura Electrónica (iHub),Factura Electrónica ,Estado de Pago,SEPULVEDA ROJAS INGENIERIA SERVICIOS Y CONSTRUCTORA SPA,77438289-5,1418 Piso 8 Costanera Center,2025-07-10T19:37:00.06,2025-07-10T00:00:00,2025-08-09T00:00:00,10-07-2025,2025-07-10T00:00:00,$,20396645.0,Aprobada,Totalmente Asociada,Sin Pagos,Pago Crédito,07/07/2025 01:03:57,,,S,,,,,1418,Piso 8 Costanera Center,Activo,17140038.0,0.0
